Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,5.032500,5.070000,4.952500,5.032500,4.832580,11368000
2015-01-05,5.032500,5.047500,4.925000,4.947500,4.750955,19795200
2015-01-06,4.955000,4.960000,4.792500,4.797500,4.606914,19776400
2015-01-07,4.832500,4.875000,4.770000,4.785000,4.594908,32180800
2015-01-08,4.840000,4.995000,4.837500,4.965000,4.767759,28378000
2015-01-09,4.982500,5.022500,4.915000,4.985000,4.786966,20954000
2015-01-12,4.997500,5.000000,4.877500,4.922500,4.726948,19073200
2015-01-13,4.960000,5.060000,4.880000,4.915000,4.719745,23672000
2015-01-14,4.862500,4.950000,4.850000,4.935000,4.738951,15526000
2015-01-15,4.970000,5.000000,4.897500,4.900000,4.705343,18893200
2015-01-16,4.892500,4.995000,4.877500,4.990000,4.791766,18151200
2015-01-20,5.025000,5.052500,4.942500,5.005000,4.806171,14030800
2015-01-21,4.977500,5.087500,4.942500,5.075000,4.873390,14478000
2015-01-22,5.085000,5.177500,5.032500,5.162500,4.957413,15971200
2015-01-23,5.167500,5.187500,5.125000,5.177500,4.971817,12041600
2015-01-26,5.155000,5.180000,5.122500,5.155000,4.950214,13324000
2015-01-27,5.075000,5.080000,4.897500,4.907500,4.712545,35794800
2015-01-28,4.967500,4.987500,4.825000,4.827500,4.635723,27272800
2015-01-29,4.830000,4.972500,4.807500,4.945000,4.748555,23534000
2015-01-30,4.910000,4.967500,4.792500,4.800000,4.609315,29820000
2015-02-02,4.830000,4.925000,4.735000,4.905000,4.710144,25960400
2015-02-03,4.940000,5.032500,4.915000,5.027500,4.827778,18346800
2015-02-04,5.012500,5.097500,4.997500,5.040000,4.839780,18151600
2015-02-05,5.045000,5.125000,5.040000,5.122500,4.919003,14044800
2015-02-06,5.117500,5.177500,5.077500,5.100000,4.897396,21052400
2015-02-09,5.070000,5.110000,5.037500,5.095000,4.892596,27394400
2015-02-10,5.100000,5.240000,5.077500,5.237500,5.029435,22620400
2015-02-11,5.250000,5.250000,5.167500,5.202500,4.995827,32083200
2015-02-12,5.500000,5.625000,5.467500,5.575000,5.353528,67690400
2015-02-13,5.562500,5.585000,5.477500,5.577500,5.355927,31008400
2015-02-17,5.567500,5.622500,5.532500,5.595000,5.372732,20334000
2015-02-18,5.587500,5.597500,5.520000,5.530000,5.310316,17094800
2015-02-19,5.600000,5.610000,5.520000,5.545000,5.324718,16943200
2015-02-20,5.540000,5.587500,5.500000,5.585000,5.363130,15775200
2015-02-23,5.582500,5.582500,5.512500,5.540000,5.319918,12500800
2015-02-24,5.540000,5.577500,5.490000,5.577500,5.376551,14935600
2015-02-25,5.555000,5.580000,5.510000,5.535000,5.335583,12382000
2015-02-26,5.540000,5.582500,5.505000,5.550000,5.350041,15286400
2015-02-27,5.535000,5.547500,5.495000,5.515000,5.316302,15749200
2015-03-02,5.500000,5.680000,5.492500,5.650000,5.446438,30151200
2015-03-03,5.607500,5.635000,5.527500,5.545000,5.345221,16034400
2015-03-04,5.525000,5.620000,5.502500,5.607500,5.405469,22684000
2015-03-05,5.607500,5.725000,5.592500,5.715000,5.509098,32305600
2015-03-06,5.682500,5.710000,5.632500,5.637500,5.434388,25739200
2015-03-09,5.640000,5.695000,5.627500,5.652500,5.448849,22238800
2015-03-10,5.677500,5.787500,5.667500,5.750000,5.542837,52721200
2015-03-11,5.750000,5.825000,5.705000,5.720000,5.513917,26212000
2015-03-12,5.665000,5.707500,5.560000,5.667500,5.463308,40697200
2015-03-13,5.640000,5.690000,5.562500,5.675000,5.470538,35928800
2015-03-16,5.720000,5.777500,5.682500,5.742500,5.535606,23695600
2015-03-17,5.730000,5.815000,5.690000,5.812500,5.603085,29990000
2015-03-18,5.812500,5.842500,5.665000,5.717500,5.511508,41384400
2015-03-19,5.737500,5.825000,5.695000,5.805000,5.595853,31075600
2015-03-20,5.852500,5.902500,5.797500,5.867500,5.656102,46208400
2015-03-23,5.692500,5.767500,5.675000,5.677500,5.472950,42601200
2015-03-24,5.660000,5.700000,5.575000,5.600000,5.398240,33048000
2015-03-25,5.597500,5.597500,5.242500,5.260000,5.070490,54255200
2015-03-26,5.152500,5.265000,5.115000,5.242500,5.053620,31192000
2015-03-27,5.272500,5.365000,5.187500,5.345000,5.152426,31828800
2015-03-30,5.370000,5.395000,5.300000,5.367500,5.174117,25325200
2015-03-31,5.352500,5.357500,5.227500,5.232500,5.043979,35727600
2015-04-01,5.252500,5.270000,5.162500,5.252500,5.063260,33076800
2015-04-02,5.282500,5.297500,5.220000,5.265000,5.075309,19220400
2015-04-06,5.242500,5.435000,5.187500,5.417500,5.222314,51586400
2015-04-07,5.417500,5.525000,5.387500,5.465000,5.268104,41396400
2015-04-08,5.470000,5.525000,5.417500,5.505000,5.306663,36643200
2015-04-09,5.462500,5.650000,5.460000,5.632500,5.429569,37943200
2015-04-10,5.637500,5.692500,5.617500,5.690000,5.484997,25872800
2015-04-13,5.677500,5.710000,5.612500,5.637500,5.434388,23672400
2015-04-14,5.615000,5.637500,5.535000,5.590000,5.388601,22027600
2015-04-15,5.605000,5.700000,5.577500,5.657500,5.453668,24356000
2015-04-16,5.625000,5.672500,5.582500,5.622500,5.419929,15528400
2015-04-17,5.505000,5.605000,5.502500,5.550000,5.350041,29363600
2015-04-20,5.575000,5.610000,5.512500,5.522500,5.323531,23162400
2015-04-21,5.590000,5.590000,5.487500,5.515000,5.316302,23045600
2015-04-22,5.547500,5.585000,5.462500,5.577500,5.376551,20742000
2015-04-23,5.475000,5.607500,5.412500,5.555000,5.354861,25938000
2015-04-24,5.552500,5.555000,5.445000,5.507500,5.309072,24096000
2015-04-27,5.525000,5.647500,5.477500,5.550000,5.350041,24845600
2015-04-28,5.540000,5.597500,5.487500,5.577500,5.376551,23448400
2015-04-29,5.537500,5.592500,5.512500,5.535000,5.335583,19515600
2015-04-30,5.507500,5.577500,5.495000,5.550000,5.350041,21884400
2015-05-01,5.595000,5.705000,5.570000,5.687500,5.482588,25696800
2015-05-04,5.682500,5.720000,5.635000,5.652500,5.448849,20072000
2015-05-05,5.632500,5.640000,5.482500,5.507500,5.309072,29292800
2015-05-06,5.537500,5.590000,5.452500,5.525000,5.325943,31648400
2015-05-07,5.502500,5.640000,5.485000,5.622500,5.419929,53456400
2015-05-08,5.252500,5.460000,5.122500,5.207500,5.019884,114655200
2015-05-11,5.135000,5.210000,5.095000,5.157500,4.971681,54414400
2015-05-12,5.120000,5.250000,5.117500,5.207500,5.019884,38880000
2015-05-13,5.245000,5.285000,5.187500,5.237500,5.048801,30852400
2015-05-14,5.252500,5.350000,5.240000,5.322500,5.130738,29305200
2015-05-15,5.345000,5.370000,5.292500,5.325000,5.133149,21582400
2015-05-18,5.312500,5.350000,5.287500,5.317500,5.125918,32497200
2015-05-19,5.300000,5.317500,5.250000,5.260000,5.093960,25380800
2015-05-20,5.262500,5.325000,5.255000,5.260000,5.093960,19682400
2015-05-21,5.262500,5.285000,5.217500,5.222500,5.057644,23969200
2015-05-22,5.235000,5.255000,5.202500,5.215000,5.050381,21259200
2015-05-26,5.190000,5.225000,5.142500,5.182500,5.018906,25973200
2015-05-27,5.217500,5.485000,5.200000,5.460000,5.287648,43233200
2015-05-28,5.460000,5.552500,5.450000,5.535000,5.360280,32765600
2015-05-29,5.535000,5.570000,5.525000,5.532500,5.357859,33516800
2015-06-01,5.567500,5.650000,5.532500,5.595000,5.418384,37266000
2015-06-02,5.560000,5.590000,5.480000,5.485000,5.311857,22430400
2015-06-03,5.500000,5.542500,5.415000,5.425000,5.253752,25078800
2015-06-04,5.392500,5.540000,5.392500,5.522500,5.348173,32371200
2015-06-05,5.505000,5.590000,5.447500,5.565000,5.389331,31332000
2015-06-08,5.547500,5.585000,5.375000,5.437500,5.265856,34281200
2015-06-09,5.442500,5.505000,5.432500,5.465000,5.292489,25688800
2015-06-10,5.400000,5.435000,5.337500,5.367500,5.198067,52946000
2015-06-11,5.367500,5.462500,5.367500,5.425000,5.253752,28305200
2015-06-12,5.390000,5.422500,5.265000,5.277500,5.110909,32372800
2015-06-15,5.250000,5.292500,5.210000,5.267500,5.101223,30654800
2015-06-16,5.257500,5.340000,5.205000,5.332500,5.164171,25689200
2015-06-17,5.330000,5.425000,5.317500,5.395000,5.224699,23354400
2015-06-18,5.440000,5.520000,5.425000,5.485000,5.311857,29940400
2015-06-19,5.485000,5.530000,5.417500,5.467500,5.294909,35565600
2015-06-22,5.477500,5.507500,5.362500,5.445000,5.273120,51423600
2015-06-23,5.455000,5.497500,5.262500,5.305000,5.137539,41406400
2015-06-24,5.297500,5.325000,5.227500,5.252500,5.086696,25336800
2015-06-25,5.252500,5.325000,5.252500,5.292500,5.125433,35046000
2015-06-26,5.250000,5.255000,5.162500,5.185000,5.021328,42129600
2015-06-29,5.125000,5.177500,5.022500,5.030000,4.871220,39172400
2015-06-30,5.060000,5.082500,4.992500,5.027500,4.868800,31591600
